No,試験区分,年度,科目,演習ID,画面URL,想定左上表示,マーク数,確認ステータス,問題PDFチェック,解答PDF,左上表示,マークシート,満点,順不同件数,システム上の順不同設問,部分点件数,システム上の部分点設問,公式解答との差異メモ
1,本試験,2026,英語リーディング,common/2026/english,https://common-test-share.vercel.app/exam/common/2026/english,共通テスト 英語リーディング 2026,44,要確認,,,,,,4,22・23（答:3・5 / 4点 / 入替パターン登録）； 24・25（答:1・4 / 3点 / 入替パターン登録）； 33・34（答:1・4 / 4点 / 入替パターン登録）； 40・41・42（答:3・5・1 / 4点 / 入替パターン登録）,1,22・23（答:3・1 / 1・5 / 3・2 / 2・5 / 3・3 / 3・4 / 4・5 / 5・5 / 2点 / 部分点）,
2,本試験,2026,英語リスニング,common/2026/english_listening,https://common-test-share.vercel.app/exam/common/2026/english_listening,共通テスト 英語リスニング 2026,37,要確認,,,,,,0,なし,0,なし,
3,本試験,2026,化学,common/2026/chemistry,https://common-test-share.vercel.app/exam/common/2026/chemistry,共通テスト 化学 2026,33,要確認,,,,,,0,なし,0,なし,
4,本試験,2026,公共、政治・経済,common/2026/public_politics_economy,https://common-test-share.vercel.app/exam/common/2026/public_politics_economy,共通テスト 公共、政治・経済 2026,34,要確認,,,,,,0,なし,0,なし,
5,本試験,2026,公共、倫理,common/2026/public_ethics,https://common-test-share.vercel.app/exam/common/2026/public_ethics,共通テスト 公共、倫理 2026,32,要確認,,,,,,0,なし,0,なし,
6,本試験,2026,国語,common/2026/japanese,https://common-test-share.vercel.app/exam/common/2026/japanese,共通テスト 国語 2026,37,要確認,,,,,,0,なし,0,なし,
7,本試験,2026,情報I,common/2026/information_i,https://common-test-share.vercel.app/exam/common/2026/information_i,共通テスト 情報I 2026,60,要確認,,,,,,3,ア・イ（答:2・4 / 3点 / 入替パターン登録）； カ・キ（答:1・2 / 4点 / 入替パターン登録）； キ・ク（答:1・4 / 4点 / 入替パターン登録）,0,なし,
8,本試験,2026,数学I・A,common/2026/math_ia,https://common-test-share.vercel.app/exam/common/2026/math_ia,共通テスト 数学I・A 2026,88,要確認,,,,,,1,ス・セ（答:2・6 / 3点 / orderMatters=false）,0,なし,
9,本試験,2026,数学II・B・C,common/2026/math_iibc,https://common-test-share.vercel.app/exam/common/2026/math_iibc,共通テスト 数学II・B・C 2026,105,要確認,,,,,,2,タ・チ・ツ（答:1・2・4 / 2点 / orderMatters=false）； テ・ト（答:1・4 / 2点 / orderMatters=false）,0,なし,
10,本試験,2026,世界史探究,common/2026/world_history,https://common-test-share.vercel.app/exam/common/2026/world_history,共通テスト 世界史探究 2026,32,要確認,,,,,,0,なし,0,なし,
11,本試験,2026,生物,common/2026/biology,https://common-test-share.vercel.app/exam/common/2026/biology,共通テスト 生物 2026,25,要確認,,,,,,1,7・8（答:3・6 / 6点 / orderMatters=false）,1,23（答:2 / 3 / 1点 / 部分点）,
12,本試験,2026,地理総合・地理探究,common/2026/geography,https://common-test-share.vercel.app/exam/common/2026/geography,共通テスト 地理総合・地理探究 2026,30,要確認,,,,,,0,なし,0,なし,
13,本試験,2026,日本史探究,common/2026/japanese_history,https://common-test-share.vercel.app/exam/common/2026/japanese_history,共通テスト 日本史探究 2026,34,要確認,,,,,,0,なし,0,なし,
14,本試験,2026,物理,common/2026/physics,https://common-test-share.vercel.app/exam/common/2026/physics,共通テスト 物理 2026,22,要確認,,,,,,0,なし,0,なし,
15,本試験,2026,理科基礎,common/2026/science_basics,https://common-test-share.vercel.app/exam/common/2026/science_basics,共通テスト 理科基礎 2026,61,要確認,,,,,,0,なし,0,なし,
16,本試験,2026,歴史総合・公共,common/2026/integrated_history_public,https://common-test-share.vercel.app/exam/common/2026/integrated_history_public,共通テスト 歴史総合・公共 2026,48,要確認,,,,,,0,なし,0,なし,
17,追試験,2026,英語リーディング,common_retake/2026/english,https://common-test-share.vercel.app/exam/common_retake/2026/english,共通テスト 英語リーディング 2026 追試験,44,要確認,,,,,,4,18・19（答:1・5 / 4点 / orderMatters=false）； 29・30（答:1・5 / 3点 / orderMatters=false）； 34・35（答:3・4 / 4点 / orderMatters=false）； 40・41（答:5・2 / 4点 / orderMatters=false）,0,なし,
18,追試験,2026,英語リスニング,common_retake/2026/english_listening,https://common-test-share.vercel.app/exam/common_retake/2026/english_listening,共通テスト 英語リスニング 2026 追試験,37,要確認,,,,,,0,なし,0,なし,
19,追試験,2026,化学,common_retake/2026/chemistry,https://common-test-share.vercel.app/exam/common_retake/2026/chemistry,共通テスト 化学 2026 追試験,32,要確認,,,,,,0,なし,0,なし,
20,追試験,2026,公共、政治・経済,common_retake/2026/public_politics_economy,https://common-test-share.vercel.app/exam/common_retake/2026/public_politics_economy,共通テスト 公共、政治・経済 2026 追試験,32,要確認,,,,,,0,なし,0,なし,
21,追試験,2026,公共、倫理,common_retake/2026/public_ethics,https://common-test-share.vercel.app/exam/common_retake/2026/public_ethics,共通テスト 公共、倫理 2026 追試験,32,要確認,,,,,,0,なし,0,なし,
22,追試験,2026,国語,common_retake/2026/japanese,https://common-test-share.vercel.app/exam/common_retake/2026/japanese,共通テスト 国語 2026 追試験,40,要確認,,,,,,0,なし,0,なし,
23,追試験,2026,情報I,common_retake/2026/information_i,https://common-test-share.vercel.app/exam/common_retake/2026/information_i,共通テスト 情報I 2026 追試験,56,要確認,,,,,,1,キ・ク（答:0・2 / 2点 / orderMatters=false）,0,なし,
24,追試験,2026,数学I・A,common_retake/2026/math_ia,https://common-test-share.vercel.app/exam/common_retake/2026/math_ia,共通テスト 数学I・A 2026 追試験,84,要確認,,,,,,0,なし,0,なし,
25,追試験,2026,数学II・B・C,common_retake/2026/math_iibc,https://common-test-share.vercel.app/exam/common_retake/2026/math_iibc,共通テスト 数学II・B・C 2026 追試験,107,要確認,,,,,,0,なし,0,なし,
26,追試験,2026,世界史探究,common_retake/2026/world_history,https://common-test-share.vercel.app/exam/common_retake/2026/world_history,共通テスト 世界史探究 2026 追試験,32,要確認,,,,,,0,なし,0,なし,
27,追試験,2026,生物,common_retake/2026/biology,https://common-test-share.vercel.app/exam/common_retake/2026/biology,共通テスト 生物 2026 追試験,25,要確認,,,,,,1,11・12（答:1・4 / 6点 / orderMatters=false）,0,なし,
28,追試験,2026,地理総合・地理探究,common_retake/2026/geography,https://common-test-share.vercel.app/exam/common_retake/2026/geography,共通テスト 地理総合・地理探究 2026 追試験,30,要確認,,,,,,0,なし,0,なし,
29,追試験,2026,日本史探究,common_retake/2026/japanese_history,https://common-test-share.vercel.app/exam/common_retake/2026/japanese_history,共通テスト 日本史探究 2026 追試験,33,要確認,,,,,,0,なし,0,なし,
30,追試験,2026,物理,common_retake/2026/physics,https://common-test-share.vercel.app/exam/common_retake/2026/physics,共通テスト 物理 2026 追試験,22,要確認,,,,,,0,なし,0,なし,
31,追試験,2026,理科基礎,common_retake/2026/science_basics,https://common-test-share.vercel.app/exam/common_retake/2026/science_basics,共通テスト 理科基礎 2026 追試験,63,要確認,,,,,,1,115・116（答:3・6 / 4点 / orderMatters=false）,1,117（答:2 / 3 / 1点 / 部分点）,
32,追試験,2026,歴史総合・公共,common_retake/2026/integrated_history_public,https://common-test-share.vercel.app/exam/common_retake/2026/integrated_history_public,共通テスト 歴史総合・公共 2026 追試験,48,要確認,,,,,,0,なし,0,なし,
33,本試験,2025,英語リーディング,common/2025/english,https://common-test-share.vercel.app/exam/common/2025/english,共通テスト 英語リーディング 2025,44,要確認,,,,,,3,30・31（答:3・4 / 3点 / orderMatters=false）； 34・35（答:1・4 / 4点 / orderMatters=false）； 40・41（答:3・4 / 4点 / orderMatters=false）,0,なし,
34,本試験,2025,英語リスニング,common/2025/english_listening,https://common-test-share.vercel.app/exam/common/2025/english_listening,共通テスト 英語リスニング 2025,37,要確認,,,,,,0,なし,0,なし,
35,本試験,2025,化学,common/2025/chemistry,https://common-test-share.vercel.app/exam/common/2025/chemistry,共通テスト 化学 2025,40,要確認,,,,,,0,なし,0,なし,
36,本試験,2025,公共、政治・経済,common/2025/public_politics_economy,https://common-test-share.vercel.app/exam/common/2025/public_politics_economy,共通テスト 公共、政治・経済 2025,32,要確認,,,,,,0,なし,0,なし,
37,本試験,2025,公共、倫理,common/2025/public_ethics,https://common-test-share.vercel.app/exam/common/2025/public_ethics,共通テスト 公共、倫理 2025,33,要確認,,,,,,0,なし,0,なし,
38,本試験,2025,国語,common/2025/japanese,https://common-test-share.vercel.app/exam/common/2025/japanese,共通テスト 国語 2025,38,要確認,,,,,,0,なし,0,なし,
39,本試験,2025,情報I,common/2025/information_i,https://common-test-share.vercel.app/exam/common/2025/information_i,共通テスト 情報I 2025,51,要確認,,,,,,3,イ・ウ（答:3・4 / 2点 / 入替パターン登録）； ウ・エ（答:0・2 / 4点 / 入替パターン登録）； オ・カ（答:1・3 / 4点 / 入替パターン登録）,0,なし,
40,本試験,2025,数学I・A,common/2025/math_ia,https://common-test-share.vercel.app/exam/common/2025/math_ia,共通テスト 数学I・A 2025,80,要確認,,,,,,0,なし,0,なし,
41,本試験,2025,数学II・B・C,common/2025/math_iibc,https://common-test-share.vercel.app/exam/common/2025/math_iibc,共通テスト 数学II・B・C 2025,110,要確認,,,,,,0,なし,0,なし,
42,本試験,2025,世界史探究,common/2025/world_history,https://common-test-share.vercel.app/exam/common/2025/world_history,共通テスト 世界史探究 2025,32,要確認,,,,,,0,なし,0,なし,
43,本試験,2025,生物,common/2025/biology,https://common-test-share.vercel.app/exam/common/2025/biology,共通テスト 生物 2025,25,要確認,,,,,,0,なし,2,21（答:1 / 4 / 6 / 2点 / 部分点）； 23（答:1 / 2 / 7 / 2点 / 部分点）,
44,本試験,2025,地理総合・地理探究,common/2025/geography,https://common-test-share.vercel.app/exam/common/2025/geography,共通テスト 地理総合・地理探究 2025,30,要確認,,,,,,0,なし,0,なし,
45,本試験,2025,日本史探究,common/2025/japanese_history,https://common-test-share.vercel.app/exam/common/2025/japanese_history,共通テスト 日本史探究 2025,33,要確認,,,,,,0,なし,0,なし,
46,本試験,2025,物理,common/2025/physics,https://common-test-share.vercel.app/exam/common/2025/physics,共通テスト 物理 2025,24,要確認,,,,,,0,なし,0,なし,
47,本試験,2025,理科基礎,common/2025/science_basics,https://common-test-share.vercel.app/exam/common/2025/science_basics,共通テスト 理科基礎 2025,66,要確認,,,,,,1,104・105（答:2・5 / 4点 / 入替パターン登録）,3,104・105（答:0・2 / 0・5 / 1・2 / 1・5 / 2・0 / 2・1 / 2・2 / 2・3 / 2・4 / 2・6 / 2・7 / 2・8 / 2・9 / 3・2 / 3・5 / 4・2 / 4・5 / 5・0 / 5・1 / 5・3 / 5・4 / 5・5 / 5・6 / 5・7 / 5・8 / 5・9 / 6・2 / 6・5 / 7・2 / 7・5 / 8・2 / 8・5 / 9・2 / 9・5 / 2点 / 部分点）； 106（答:1 / 4 / 7 / 1点 / 部分点）； 116（答:1 / 4 / 7 / 1点 / 部分点）,
48,本試験,2025,歴史総合・公共,common/2025/integrated_history_public,https://common-test-share.vercel.app/exam/common/2025/integrated_history_public,共通テスト 歴史総合・公共 2025,48,要確認,,,,,,0,なし,0,なし,
49,追試験,2025,英語リーディング,common_retake/2025/english,https://common-test-share.vercel.app/exam/common_retake/2025/english,共通テスト 英語リーディング 2025 追試験,44,要確認,,,,,,5,9・10・11・12（答:5・3・1・4 / 4点 / orderMatters=false）； 21・22（答:1・4 / 4点 / orderMatters=false）； 29・30（答:5・2 / 2点 / orderMatters=false）； 36・37（答:3・4 / 4点 / orderMatters=false）； 40・41（答:1・4 / 1点 / orderMatters=false）,0,なし,
50,追試験,2025,英語リスニング,common_retake/2025/english_listening,https://common-test-share.vercel.app/exam/common_retake/2025/english_listening,共通テスト 英語リスニング 2025 追試験,37,要確認,,,,,,0,なし,0,なし,
51,追試験,2025,化学,common_retake/2025/chemistry,https://common-test-share.vercel.app/exam/common_retake/2025/chemistry,共通テスト 化学 2025 追試験,38,要確認,,,,,,0,なし,0,なし,
52,追試験,2025,公共、政治・経済,common_retake/2025/public_politics_economy,https://common-test-share.vercel.app/exam/common_retake/2025/public_politics_economy,共通テスト 公共、政治・経済 2025 追試験,32,要確認,,,,,,0,なし,0,なし,
53,追試験,2025,公共、倫理,common_retake/2025/public_ethics,https://common-test-share.vercel.app/exam/common_retake/2025/public_ethics,共通テスト 公共、倫理 2025 追試験,33,要確認,,,,,,0,なし,0,なし,
54,追試験,2025,国語,common_retake/2025/japanese,https://common-test-share.vercel.app/exam/common_retake/2025/japanese,共通テスト 国語 2025 追試験,38,要確認,,,,,,1,23・24（答:2・4 / 8点 / orderMatters=false）,0,なし,
55,追試験,2025,情報I,common_retake/2025/information_i,https://common-test-share.vercel.app/exam/common_retake/2025/information_i,共通テスト 情報I 2025 追試験,47,要確認,,,,,,0,なし,0,なし,
56,追試験,2025,数学I・A,common_retake/2025/math_ia,https://common-test-share.vercel.app/exam/common_retake/2025/math_ia,共通テスト 数学I・A 2025 追試験,81,要確認,,,,,,0,なし,0,なし,
57,追試験,2025,数学II・B・C,common_retake/2025/math_iibc,https://common-test-share.vercel.app/exam/common_retake/2025/math_iibc,共通テスト 数学II・B・C 2025 追試験,108,要確認,,,,,,0,なし,0,なし,
58,追試験,2025,世界史探究,common_retake/2025/world_history,https://common-test-share.vercel.app/exam/common_retake/2025/world_history,共通テスト 世界史探究 2025 追試験,32,要確認,,,,,,0,なし,0,なし,
59,追試験,2025,生物,common_retake/2025/biology,https://common-test-share.vercel.app/exam/common_retake/2025/biology,共通テスト 生物 2025 追試験,25,要確認,,,,,,3,8・9（答:5・6 / 6点 / 入替パターン登録）； 11・12（答:1・6 / 6点 / 入替パターン登録）； 21・22（答:4・7 / 8点 / 入替パターン登録）,2,13（答:2 / 3 / 2点 / 部分点）； 20（答:8 / 2点 / 部分点）,
60,追試験,2025,地理総合・地理探究,common_retake/2025/geography,https://common-test-share.vercel.app/exam/common_retake/2025/geography,共通テスト 地理総合・地理探究 2025 追試験,30,要確認,,,,,,0,なし,0,なし,
61,追試験,2025,日本史探究,common_retake/2025/japanese_history,https://common-test-share.vercel.app/exam/common_retake/2025/japanese_history,共通テスト 日本史探究 2025 追試験,33,要確認,,,,,,0,なし,0,なし,
62,追試験,2025,物理,common_retake/2025/physics,https://common-test-share.vercel.app/exam/common_retake/2025/physics,共通テスト 物理 2025 追試験,23,要確認,,,,,,0,なし,0,なし,
63,追試験,2025,理科基礎,common_retake/2025/science_basics,https://common-test-share.vercel.app/exam/common_retake/2025/science_basics,共通テスト 理科基礎 2025 追試験,66,要確認,,,,,,1,113・114（答:1・4 / 6点 / 入替パターン登録）,0,なし,
64,追試験,2025,歴史総合・公共,common_retake/2025/integrated_history_public,https://common-test-share.vercel.app/exam/common_retake/2025/integrated_history_public,共通テスト 歴史総合・公共 2025 追試験,16,要確認,,,,,,0,なし,0,なし,
65,本試験,2024,英語リーディング,common/2024/english,https://common-test-share.vercel.app/exam/common/2024/english,共通テスト 英語リーディング 2024,49,要確認,,,,,,1,46・47（答:2・3 / 3点 / orderMatters=false）,0,なし,
66,本試験,2024,英語リスニング,common/2024/english_listening,https://common-test-share.vercel.app/exam/common/2024/english_listening,共通テスト 英語リスニング 2024,37,要確認,,,,,,0,なし,0,なし,
67,本試験,2024,化学,common/2024/chemistry,https://common-test-share.vercel.app/exam/common/2024/chemistry,共通テスト 化学 2024,31,要確認,,,,,,1,13・14（答:1・3 / 4点 / orderMatters=false）,0,なし,
68,本試験,2024,化学基礎,common/2024/chemistry_basics,https://common-test-share.vercel.app/exam/common/2024/chemistry_basics,共通テスト 化学基礎 2024,18,要確認,,,,,,1,14・15（答:1・5 / 3点 / orderMatters=false）,0,なし,
69,本試験,2024,現代社会,common/2024/modern_society,https://common-test-share.vercel.app/exam/common/2024/modern_society,共通テスト 現代社会 2024,31,要確認,,,,,,0,なし,0,なし,
70,本試験,2024,国語,common/2024/japanese,https://common-test-share.vercel.app/exam/common/2024/japanese,共通テスト 国語 2024,38,要確認,,,,,,0,なし,0,なし,
71,本試験,2024,情報関係基礎,common/2024/information_related_basics,https://common-test-share.vercel.app/exam/common/2024/information_related_basics,共通テスト 情報関係基礎 2024,40,要確認,,,,,,0,なし,0,なし,
72,本試験,2024,数学I・A,common/2024/math_ia,https://common-test-share.vercel.app/exam/common/2024/math_ia,共通テスト 数学I・A 2024,95,要確認,,,,,,0,なし,0,なし,
73,本試験,2024,数学II・B,common/2024/math_iib,https://common-test-share.vercel.app/exam/common/2024/math_iib,共通テスト 数学II・B 2024,105,要確認,,,,,,0,なし,0,なし,
74,本試験,2024,世界史B,common/2024/world_history_b,https://common-test-share.vercel.app/exam/common/2024/world_history_b,共通テスト 世界史B 2024,33,要確認,,,,,,0,なし,0,なし,
75,本試験,2024,政治・経済,common/2024/politics_economy,https://common-test-share.vercel.app/exam/common/2024/politics_economy,共通テスト 政治・経済 2024,30,要確認,,,,,,0,なし,0,なし,
76,本試験,2024,生物,common/2024/biology,https://common-test-share.vercel.app/exam/common/2024/biology,共通テスト 生物 2024,26,要確認,,,,,,1,8・9（答:1・2 / 6点 / orderMatters=false）,5,2（答:2 / 3 / 2点 / 部分点）； 7（答:1 / 6 / 7 / 2点 / 部分点）； 10（答:3 / 5 / 8 / 2点 / 部分点）； 12（答:1 / 3 / 2点 / 部分点）； 13・14（答:4・* / *・5 / 2点 / 部分点）,
77,本試験,2024,生物基礎,common/2024/biology_basics,https://common-test-share.vercel.app/exam/common/2024/biology_basics,共通テスト 生物基礎 2024,16,要確認,,,,,,0,なし,0,なし,
78,本試験,2024,地学基礎,common/2024/earth_science_basics,https://common-test-share.vercel.app/exam/common/2024/earth_science_basics,共通テスト 地学基礎 2024,15,要確認,,,,,,0,なし,0,なし,
79,本試験,2024,地理B,common/2024/geography_b,https://common-test-share.vercel.app/exam/common/2024/geography_b,共通テスト 地理B 2024,30,要確認,,,,,,0,なし,0,なし,
80,本試験,2024,日本史B,common/2024/japanese_history_b,https://common-test-share.vercel.app/exam/common/2024/japanese_history_b,共通テスト 日本史B 2024,32,要確認,,,,,,0,なし,0,なし,
81,本試験,2024,物理,common/2024/physics,https://common-test-share.vercel.app/exam/common/2024/physics,共通テスト 物理 2024,22,要確認,,,,,,0,なし,1,11（答:3 / 1点 / 部分点）,
82,本試験,2024,物理基礎,common/2024/physics_basics,https://common-test-share.vercel.app/exam/common/2024/physics_basics,共通テスト 物理基礎 2024,17,要確認,,,,,,0,なし,0,なし,
83,本試験,2024,倫理,common/2024/ethics,https://common-test-share.vercel.app/exam/common/2024/ethics,共通テスト 倫理 2024,33,要確認,,,,,,0,なし,0,なし,
84,本試験,2024,倫理、政治・経済,common/2024/ethics_politics_economy,https://common-test-share.vercel.app/exam/common/2024/ethics_politics_economy,共通テスト 倫理、政治・経済 2024,32,要確認,,,,,,0,なし,0,なし,
85,追試験,2024,英語リーディング,common_retake/2024/english,https://common-test-share.vercel.app/exam/common_retake/2024/english,共通テスト 英語リーディング 2024 追試験,49,要確認,,,,,,3,30・31（答:1・4 / 3点 / orderMatters=false）； 40・41（答:2・4 / 3点 / orderMatters=false）； 46・47（答:2・4 / 3点 / orderMatters=false）,0,なし,
86,追試験,2024,英語リスニング,common_retake/2024/english_listening,https://common-test-share.vercel.app/exam/common_retake/2024/english_listening,共通テスト 英語リスニング 2024 追試験,37,要確認,,,,,,0,なし,0,なし,
87,追試験,2024,化学,common_retake/2024/chemistry,https://common-test-share.vercel.app/exam/common_retake/2024/chemistry,共通テスト 化学 2024 追試験,28,要確認,,,,,,0,なし,0,なし,
88,追試験,2024,化学基礎,common_retake/2024/chemistry_basics,https://common-test-share.vercel.app/exam/common_retake/2024/chemistry_basics,共通テスト 化学基礎 2024 追試験,20,要確認,,,,,,0,なし,0,なし,
89,追試験,2024,現代社会,common_retake/2024/modern_society,https://common-test-share.vercel.app/exam/common_retake/2024/modern_society,共通テスト 現代社会 2024 追試験,31,要確認,,,,,,0,なし,0,なし,
90,追試験,2024,国語,common_retake/2024/japanese,https://common-test-share.vercel.app/exam/common_retake/2024/japanese,共通テスト 国語 2024 追試験,38,要確認,,,,,,0,なし,0,なし,
91,追試験,2024,情報関係基礎,common_retake/2024/information_related_basics,https://common-test-share.vercel.app/exam/common_retake/2024/information_related_basics,共通テスト 情報関係基礎 2024 追試験,40,要確認,,,,,,0,なし,0,なし,
92,追試験,2024,数学I・A,common_retake/2024/math_ia,https://common-test-share.vercel.app/exam/common_retake/2024/math_ia,共通テスト 数学I・A 2024 追試験,95,要確認,,,,,,0,なし,0,なし,
93,追試験,2024,数学II・B,common_retake/2024/math_iib,https://common-test-share.vercel.app/exam/common_retake/2024/math_iib,共通テスト 数学II・B 2024 追試験,105,要確認,,,,,,0,なし,0,なし,
