No,試験区分,年度,科目,演習ID,画面URL,想定左上表示,マーク数,確認ステータス,問題PDFチェック,解答PDF,左上表示,マークシート,満点,順不同件数,システム上の順不同設問,部分点件数,システム上の部分点設問,公式解答との差異メモ
94,追試験,2024,世界史B,common_retake/2024/world_history_b,https://common-test-share.vercel.app/exam/common_retake/2024/world_history_b,共通テスト 世界史B 2024 追試験,33,要確認,,,,,,0,なし,0,なし,
95,追試験,2024,政治・経済,common_retake/2024/politics_economy,https://common-test-share.vercel.app/exam/common_retake/2024/politics_economy,共通テスト 政治・経済 2024 追試験,30,要確認,,,,,,0,なし,0,なし,
96,追試験,2024,生物,common_retake/2024/biology,https://common-test-share.vercel.app/exam/common_retake/2024/biology,共通テスト 生物 2024 追試験,25,要確認,,,,,,2,8・9（答:5・6 / 6点 / 入替パターン登録）； 18・19（答:2・5 / 6点 / 入替パターン登録）,1,5（答:6 / 2点 / 部分点）,
97,追試験,2024,生物基礎,common_retake/2024/biology_basics,https://common-test-share.vercel.app/exam/common_retake/2024/biology_basics,共通テスト 生物基礎 2024 追試験,18,要確認,,,,,,2,13・14（答:1・5 / 6点 / 入替パターン登録）； 16・17（答:1・5 / 4点 / 入替パターン登録）,0,なし,
98,追試験,2024,地学基礎,common_retake/2024/earth_science_basics,https://common-test-share.vercel.app/exam/common_retake/2024/earth_science_basics,共通テスト 地学基礎 2024 追試験,15,要確認,,,,,,0,なし,0,なし,
99,追試験,2024,地理B,common_retake/2024/geography_b,https://common-test-share.vercel.app/exam/common_retake/2024/geography_b,共通テスト 地理B 2024 追試験,30,要確認,,,,,,0,なし,0,なし,
100,追試験,2024,日本史B,common_retake/2024/japanese_history_b,https://common-test-share.vercel.app/exam/common_retake/2024/japanese_history_b,共通テスト 日本史B 2024 追試験,32,要確認,,,,,,0,なし,0,なし,
101,追試験,2024,物理,common_retake/2024/physics,https://common-test-share.vercel.app/exam/common_retake/2024/physics,共通テスト 物理 2024 追試験,22,要確認,,,,,,0,なし,0,なし,
102,追試験,2024,物理基礎,common_retake/2024/physics_basics,https://common-test-share.vercel.app/exam/common_retake/2024/physics_basics,共通テスト 物理基礎 2024 追試験,17,要確認,,,,,,0,なし,0,なし,
103,追試験,2024,倫理,common_retake/2024/ethics,https://common-test-share.vercel.app/exam/common_retake/2024/ethics,共通テスト 倫理 2024 追試験,33,要確認,,,,,,0,なし,0,なし,
104,追試験,2024,倫理、政治・経済,common_retake/2024/ethics_politics_economy,https://common-test-share.vercel.app/exam/common_retake/2024/ethics_politics_economy,共通テスト 倫理、政治・経済 2024 追試験,32,要確認,,,,,,0,なし,0,なし,
105,本試験,2023,英語リーディング,common/2023/english,https://common-test-share.vercel.app/exam/common/2023/english,共通テスト 英語リーディング 2023,49,要確認,,,,,,3,37・38（答:1・5 / 3点 / 入替パターン登録）； 41・42（答:4・6 / 3点 / 入替パターン登録）； 45・46（答:1・5 / 3点 / 入替パターン登録）,0,なし,
106,本試験,2023,英語リスニング,common/2023/english_listening,https://common-test-share.vercel.app/exam/common/2023/english_listening,共通テスト 英語リスニング 2023,37,要確認,,,,,,0,なし,0,なし,
107,本試験,2023,化学,common/2023/chemistry,https://common-test-share.vercel.app/exam/common/2023/chemistry,共通テスト 化学 2023,35,要確認,,,,,,2,10・11（答:3・4 / 4点 / 入替パターン登録）； 17・18（答:3・5 / 4点 / 入替パターン登録）,0,なし,
108,本試験,2023,化学基礎,common/2023/chemistry_basics,https://common-test-share.vercel.app/exam/common/2023/chemistry_basics,共通テスト 化学基礎 2023,20,要確認,,,,,,1,15・16（答:2・5 / 4点 / 入替パターン登録）,0,なし,
109,本試験,2023,現代社会,common/2023/modern_society,https://common-test-share.vercel.app/exam/common/2023/modern_society,共通テスト 現代社会 2023,30,要確認,,,,,,0,なし,0,なし,
110,本試験,2023,国語,common/2023/japanese,https://common-test-share.vercel.app/exam/common/2023/japanese,共通テスト 国語 2023,37,要確認,,,,,,0,なし,0,なし,
111,本試験,2023,情報関係基礎,common/2023/information_related_basics,https://common-test-share.vercel.app/exam/common/2023/information_related_basics,共通テスト 情報関係基礎 2023,83,要確認,,,,,,3,オ・カ・キ（答:0・1・3 / 2点 / 入替パターン登録）； コ・サ（答:1・2 / 2点 / 入替パターン登録）； コ・サ（答:1・8 / 3点 / 入替パターン登録）,0,なし,
112,本試験,2023,数学I・A,common/2023/math_ia,https://common-test-share.vercel.app/exam/common/2023/math_ia,共通テスト 数学I・A 2023,76,要確認,,,,,,1,第2問 ウ・第2問 エ（答:1・4 / 3点 / orderMatters=false）,0,なし,
113,本試験,2023,数学II・B,common/2023/math_iib,https://common-test-share.vercel.app/exam/common/2023/math_iib,共通テスト 数学II・B 2023,95,要確認,,,,,,0,なし,0,なし,
114,本試験,2023,世界史B,common/2023/world_history_b,https://common-test-share.vercel.app/exam/common/2023/world_history_b,共通テスト 世界史B 2023,34,要確認,,,,,,0,なし,0,なし,
115,本試験,2023,政治・経済,common/2023/politics_economy,https://common-test-share.vercel.app/exam/common/2023/politics_economy,共通テスト 政治・経済 2023,30,要確認,,,,,,0,なし,0,なし,
116,本試験,2023,生物,common/2023/biology,https://common-test-share.vercel.app/exam/common/2023/biology,共通テスト 生物 2023,28,要確認,,,,,,1,6・7（答:2・5 / 6点 / orderMatters=false）,2,4（答:4 / 2点 / 部分点）； 18（答:2 / 1点 / 部分点）,
117,本試験,2023,生物基礎,common/2023/biology_basics,https://common-test-share.vercel.app/exam/common/2023/biology_basics,共通テスト 生物基礎 2023,18,要確認,,,,,,0,なし,2,12（答:2 / 5 / 8 / 1点 / 部分点）； 15（答:4 / 5 / 1点 / 部分点）,
118,本試験,2023,地学基礎,common/2023/earth_science_basics,https://common-test-share.vercel.app/exam/common/2023/earth_science_basics,共通テスト 地学基礎 2023,15,要確認,,,,,,0,なし,0,なし,
119,本試験,2023,地理B,common/2023/geography_b,https://common-test-share.vercel.app/exam/common/2023/geography_b,共通テスト 地理B 2023,31,要確認,,,,,,0,なし,0,なし,
120,本試験,2023,日本史B,common/2023/japanese_history_b,https://common-test-share.vercel.app/exam/common/2023/japanese_history_b,共通テスト 日本史B 2023,32,要確認,,,,,,0,なし,0,なし,
121,本試験,2023,物理,common/2023/physics,https://common-test-share.vercel.app/exam/common/2023/physics,共通テスト 物理 2023,26,要確認,,,,,,1,13・14（答:4・8 / 6点 / 入替パターン登録）,3,9・10・11（答:1・6・0 / 2点 / 部分点）； 16（答:2 / 4 / 1点 / 部分点）； 18（答:4 / 5 / 1点 / 部分点）,
122,本試験,2023,物理基礎,common/2023/physics_basics,https://common-test-share.vercel.app/exam/common/2023/physics_basics,共通テスト 物理基礎 2023,16,要確認,,,,,,0,なし,0,なし,
123,本試験,2023,倫理,common/2023/ethics,https://common-test-share.vercel.app/exam/common/2023/ethics,共通テスト 倫理 2023,33,要確認,,,,,,0,なし,0,なし,
124,本試験,2023,倫理、政治・経済,common/2023/ethics_politics_economy,https://common-test-share.vercel.app/exam/common/2023/ethics_politics_economy,共通テスト 倫理、政治・経済 2023,32,要確認,,,,,,0,なし,0,なし,
125,追試験,2023,英語リーディング,common_retake/2023/english,https://common-test-share.vercel.app/exam/common_retake/2023/english,共通テスト 英語リーディング 2023 追試験,49,要確認,,,,,,2,35・36（答:1・3 / 3点 / orderMatters=false）； 46・47（答:1・4 / 3点 / orderMatters=false）,0,なし,
126,追試験,2023,英語リスニング,common_retake/2023/english_listening,https://common-test-share.vercel.app/exam/common_retake/2023/english_listening,共通テスト 英語リスニング 2023 追試験,37,要確認,,,,,,0,なし,0,なし,
127,追試験,2023,化学,common_retake/2023/chemistry,https://common-test-share.vercel.app/exam/common_retake/2023/chemistry,共通テスト 化学 2023 追試験,31,要確認,,,,,,1,13・14（答:3・5 / 4点 / orderMatters=false）,0,なし,
128,追試験,2023,化学基礎,common_retake/2023/chemistry_basics,https://common-test-share.vercel.app/exam/common_retake/2023/chemistry_basics,共通テスト 化学基礎 2023 追試験,16,要確認,,,,,,0,なし,0,なし,
129,追試験,2023,現代社会,common_retake/2023/modern_society,https://common-test-share.vercel.app/exam/common_retake/2023/modern_society,共通テスト 現代社会 2023 追試験,30,要確認,,,,,,0,なし,0,なし,
130,追試験,2023,国語,common_retake/2023/japanese,https://common-test-share.vercel.app/exam/common_retake/2023/japanese,共通テスト 国語 2023 追試験,39,要確認,,,,,,0,なし,0,なし,
131,追試験,2023,情報関係基礎,common_retake/2023/information_related_basics,https://common-test-share.vercel.app/exam/common_retake/2023/information_related_basics,共通テスト 情報関係基礎 2023 追試験,40,要確認,,,,,,0,なし,0,なし,
132,追試験,2023,数学I・A,common_retake/2023/math_ia,https://common-test-share.vercel.app/exam/common_retake/2023/math_ia,共通テスト 数学I・A 2023 追試験,76,要確認,,,,,,1,第2問 ウ・第2問 エ（答:1・4 / 3点 / orderMatters=false）,0,なし,
133,追試験,2023,数学II・B,common_retake/2023/math_iib,https://common-test-share.vercel.app/exam/common_retake/2023/math_iib,共通テスト 数学II・B 2023 追試験,95,要確認,,,,,,0,なし,0,なし,
134,追試験,2023,世界史B,common_retake/2023/world_history_b,https://common-test-share.vercel.app/exam/common_retake/2023/world_history_b,共通テスト 世界史B 2023 追試験,33,要確認,,,,,,0,なし,0,なし,
135,追試験,2023,政治・経済,common_retake/2023/politics_economy,https://common-test-share.vercel.app/exam/common_retake/2023/politics_economy,共通テスト 政治・経済 2023 追試験,30,要確認,,,,,,0,なし,0,なし,
136,追試験,2023,生物,common_retake/2023/biology,https://common-test-share.vercel.app/exam/common_retake/2023/biology,共通テスト 生物 2023 追試験,26,要確認,,,,,,1,18・19（答:1・5 / 4点 / 入替パターン登録）,5,7（答:2 / 3 / 2点 / 部分点）； 12（答:2 / 3 / 1点 / 部分点）； 16（答:8 / 2点 / 部分点）； 23（答:2 / 3 / 2点 / 部分点）； 26（答:1 / 2 / 6 / 9 / 1点 / 部分点）,
137,追試験,2023,生物基礎,common_retake/2023/biology_basics,https://common-test-share.vercel.app/exam/common_retake/2023/biology_basics,共通テスト 生物基礎 2023 追試験,18,要確認,,,,,,2,7・8（答:1・4 / 4点 / 入替パターン登録）； 16・17（答:1・5 / 4点 / 入替パターン登録）,1,2（答:2 / 2点 / 部分点）,
138,追試験,2023,地学基礎,common_retake/2023/earth_science_basics,https://common-test-share.vercel.app/exam/common_retake/2023/earth_science_basics,共通テスト 地学基礎 2023 追試験,16,要確認,,,,,,1,6・7（答:2・4 / 4点 / 入替パターン登録）,0,なし,
139,追試験,2023,地理B,common_retake/2023/geography_b,https://common-test-share.vercel.app/exam/common_retake/2023/geography_b,共通テスト 地理B 2023 追試験,30,要確認,,,,,,0,なし,0,なし,
140,追試験,2023,日本史B,common_retake/2023/japanese_history_b,https://common-test-share.vercel.app/exam/common_retake/2023/japanese_history_b,共通テスト 日本史B 2023 追試験,32,要確認,,,,,,0,なし,0,なし,
141,追試験,2023,物理,common_retake/2023/physics,https://common-test-share.vercel.app/exam/common_retake/2023/physics,共通テスト 物理 2023 追試験,20,要確認,,,,,,0,なし,4,6（答:3 / 4 / 5 / 9 / 1点 / 部分点）； 7（答:1 / 3 / 5 / 8 / 1点 / 部分点）； 11（答:2 / 3 / 5 / 1点 / 部分点）； 12（答:1 / 4 / 5 / 1点 / 部分点）,
142,追試験,2023,物理基礎,common_retake/2023/physics_basics,https://common-test-share.vercel.app/exam/common_retake/2023/physics_basics,共通テスト 物理基礎 2023 追試験,15,要確認,,,,,,0,なし,0,なし,
143,追試験,2023,倫理,common_retake/2023/ethics,https://common-test-share.vercel.app/exam/common_retake/2023/ethics,共通テスト 倫理 2023 追試験,33,要確認,,,,,,0,なし,0,なし,
144,追試験,2023,倫理、政治・経済,common_retake/2023/ethics_politics_economy,https://common-test-share.vercel.app/exam/common_retake/2023/ethics_politics_economy,共通テスト 倫理、政治・経済 2023 追試験,32,要確認,,,,,,0,なし,0,なし,
145,本試験,2022,英語リーディング,common/2022/english,https://common-test-share.vercel.app/exam/common/2022/english,共通テスト 英語リーディング 2022,48,要確認,,,,,,2,31・32（答:4・5 / 3点 / orderMatters=false）； 47・48（答:3・4 / 3点 / orderMatters=false）,0,なし,
146,本試験,2022,英語リスニング,common/2022/english_listening,https://common-test-share.vercel.app/exam/common/2022/english_listening,共通テスト 英語リスニング 2022,37,要確認,,,,,,0,なし,0,なし,
147,本試験,2022,化学,common/2022/chemistry,https://common-test-share.vercel.app/exam/common/2022/chemistry,共通テスト 化学 2022,33,要確認,,,,,,0,なし,0,なし,
148,本試験,2022,化学基礎,common/2022/chemistry_basics,https://common-test-share.vercel.app/exam/common/2022/chemistry_basics,共通テスト 化学基礎 2022,15,要確認,,,,,,0,なし,0,なし,
149,本試験,2022,現代社会,common/2022/modern_society,https://common-test-share.vercel.app/exam/common/2022/modern_society,共通テスト 現代社会 2022,30,要確認,,,,,,0,なし,0,なし,
150,本試験,2022,国語,common/2022/japanese,https://common-test-share.vercel.app/exam/common/2022/japanese,共通テスト 国語 2022,36,要確認,,,,,,1,12・13（答:2・6 / 8点 / orderMatters=false）,1,12・13（答:0・2 / 0・6 / 1・2 / 1・6 / 2・0 / 2・1 / 2・2 / 2・3 / 2・4 / 2・5 / 2・7 / 2・8 / 2・9 / 3・2 / 3・6 / 4・2 / 4・6 / 5・2 / 5・6 / 6・0 / 6・1 / 6・3 / 6・4 / 6・5 / 6・6 / 6・7 / 6・8 / 6・9 / 7・2 / 7・6 / 8・2 / 8・6 / 9・2 / 9・6 / 4点 / 部分点）,
151,本試験,2022,情報関係基礎,common/2022/information_related_basics,https://common-test-share.vercel.app/exam/common/2022/information_related_basics,共通テスト 情報関係基礎 2022,40,要確認,,,,,,0,なし,0,なし,
152,本試験,2022,数学I・A,common/2022/math_ia,https://common-test-share.vercel.app/exam/common/2022/math_ia,共通テスト 数学I・A 2022,117,要確認,,,,,,0,なし,0,なし,
153,本試験,2022,数学II・B,common/2022/math_iib,https://common-test-share.vercel.app/exam/common/2022/math_iib,共通テスト 数学II・B 2022,92,要確認,,,,,,0,なし,0,なし,
154,本試験,2022,世界史B,common/2022/world_history_b,https://common-test-share.vercel.app/exam/common/2022/world_history_b,共通テスト 世界史B 2022,34,要確認,,,,,,0,なし,0,なし,
155,本試験,2022,政治・経済,common/2022/politics_economy,https://common-test-share.vercel.app/exam/common/2022/politics_economy,共通テスト 政治・経済 2022,30,要確認,,,,,,0,なし,0,なし,
156,本試験,2022,生物,common/2022/biology,https://common-test-share.vercel.app/exam/common/2022/biology,共通テスト 生物 2022,28,要確認,,,,,,1,15・16（答:3・4 / 4点 / orderMatters=false）,3,3（答:2 / 4 / 6 / 8 / 1点 / 部分点）； 15・16（答:0・3 / 0・4 / 1・3 / 1・4 / 2・3 / 2・4 / 3・0 / 3・1 / 3・2 / 3・3 / 3・5 / 3・6 / 3・7 / 3・8 / 3・9 / 4・0 / 4・1 / 4・2 / 4・4 / 4・5 / 4・6 / 4・7 / 4・8 / 4・9 / 5・3 / 5・4 / 6・3 / 6・4 / 7・3 / 7・4 / 8・3 / 8・4 / 9・3 / 9・4 / 2点 / 部分点）； 17（答:4 / 3点 / 部分点）,
157,本試験,2022,生物基礎,common/2022/biology_basics,https://common-test-share.vercel.app/exam/common/2022/biology_basics,共通テスト 生物基礎 2022,17,要確認,,,,,,0,なし,0,なし,
158,本試験,2022,地学基礎,common/2022/earth_science_basics,https://common-test-share.vercel.app/exam/common/2022/earth_science_basics,共通テスト 地学基礎 2022,15,要確認,,,,,,0,なし,0,なし,
159,本試験,2022,地理B,common/2022/geography_b,https://common-test-share.vercel.app/exam/common/2022/geography_b,共通テスト 地理B 2022,31,要確認,,,,,,0,なし,0,なし,
160,本試験,2022,日本史B,common/2022/japanese_history_b,https://common-test-share.vercel.app/exam/common/2022/japanese_history_b,共通テスト 日本史B 2022,32,要確認,,,,,,0,なし,0,なし,
161,本試験,2022,物理,common/2022/physics,https://common-test-share.vercel.app/exam/common/2022/physics,共通テスト 物理 2022,25,要確認,,,,,,0,なし,1,5（答:5 / 5点 / 部分点）,
162,本試験,2022,物理基礎,common/2022/physics_basics,https://common-test-share.vercel.app/exam/common/2022/physics_basics,共通テスト 物理基礎 2022,17,要確認,,,,,,0,なし,5,1（答:1 / 4点 / 部分点）； 2（答:2 / 4点 / 部分点）； 3（答:3 / 4点 / 部分点）； 5（答:5 / 4点 / 部分点）； 6（答:6 / 4点 / 部分点）,
163,本試験,2022,倫理,common/2022/ethics,https://common-test-share.vercel.app/exam/common/2022/ethics,共通テスト 倫理 2022,33,要確認,,,,,,0,なし,0,なし,
164,本試験,2022,倫理、政治・経済,common/2022/ethics_politics_economy,https://common-test-share.vercel.app/exam/common/2022/ethics_politics_economy,共通テスト 倫理、政治・経済 2022,32,要確認,,,,,,0,なし,0,なし,
165,追試験,2022,英語リーディング,common_retake/2022/english,https://common-test-share.vercel.app/exam/common_retake/2022/english,共通テスト 英語リーディング 2022 追試験,48,要確認,,,,,,4,27・28（答:1・4 / 1点 / 入替パターン登録）； 37・38（答:2・4 / 3点 / 入替パターン登録）； 41・42（答:3・5 / 3点 / 入替パターン登録）； 45・46（答:2・5 / 3点 / 入替パターン登録）,0,なし,
166,追試験,2022,英語リスニング,common_retake/2022/english_listening,https://common-test-share.vercel.app/exam/common_retake/2022/english_listening,共通テスト 英語リスニング 2022 追試験,37,要確認,,,,,,0,なし,0,なし,
167,追試験,2022,化学,common_retake/2022/chemistry,https://common-test-share.vercel.app/exam/common_retake/2022/chemistry,共通テスト 化学 2022 追試験,34,要確認,,,,,,2,30・31（答:2・6 / 1点 / 入替パターン登録）； 13・14（答:3・5 / 1点 / 入替パターン登録）,0,なし,
168,追試験,2022,化学基礎,common_retake/2022/chemistry_basics,https://common-test-share.vercel.app/exam/common_retake/2022/chemistry_basics,共通テスト 化学基礎 2022 追試験,19,要確認,,,,,,1,1・2（答:1・6 / 3点 / 入替パターン登録）,0,なし,
169,追試験,2022,現代社会,common_retake/2022/modern_society,https://common-test-share.vercel.app/exam/common_retake/2022/modern_society,共通テスト 現代社会 2022 追試験,30,要確認,,,,,,0,なし,0,なし,
170,追試験,2022,国語,common_retake/2022/japanese,https://common-test-share.vercel.app/exam/common_retake/2022/japanese,共通テスト 国語 2022 追試験,36,要確認,,,,,,1,23・24（答:3・6 / 1点 / 入替パターン登録）,0,なし,
171,追試験,2022,情報関係基礎,common_retake/2022/information_related_basics,https://common-test-share.vercel.app/exam/common_retake/2022/information_related_basics,共通テスト 情報関係基礎 2022 追試験,24,要確認,,,,,,0,なし,0,なし,
172,追試験,2022,数学I・A,common_retake/2022/math_ia,https://common-test-share.vercel.app/exam/common_retake/2022/math_ia,共通テスト 数学I・A 2022 追試験,117,要確認,,,,,,0,なし,0,なし,
173,追試験,2022,数学II・B,common_retake/2022/math_iib,https://common-test-share.vercel.app/exam/common_retake/2022/math_iib,共通テスト 数学II・B 2022 追試験,92,要確認,,,,,,1,第2問 ケ・第2問 コ（答:1・4 / 6点 / orderMatters=false）,0,なし,
174,追試験,2022,世界史B,common_retake/2022/world_history_b,https://common-test-share.vercel.app/exam/common_retake/2022/world_history_b,共通テスト 世界史B 2022 追試験,33,要確認,,,,,,0,なし,0,なし,
175,追試験,2022,政治・経済,common_retake/2022/politics_economy,https://common-test-share.vercel.app/exam/common_retake/2022/politics_economy,共通テスト 政治・経済 2022 追試験,33,要確認,,,,,,0,なし,0,なし,
176,追試験,2022,生物,common_retake/2022/biology,https://common-test-share.vercel.app/exam/common_retake/2022/biology,共通テスト 生物 2022 追試験,29,要確認,,,,,,0,なし,0,なし,
177,追試験,2022,生物基礎,common_retake/2022/biology_basics,https://common-test-share.vercel.app/exam/common_retake/2022/biology_basics,共通テスト 生物基礎 2022 追試験,18,要確認,,,,,,1,14・15（答:3・5 / 1点 / 入替パターン登録）,0,なし,
178,追試験,2022,地学,common_retake/2022/earth_science,https://common-test-share.vercel.app/exam/common_retake/2022/earth_science,共通テスト 地学 2022 追試験,33,要確認,,,,,,2,29・30（答:1・4 / 3点 / 入替パターン登録）； 14・15（答:1・2 / 1点 / 入替パターン登録）,0,なし,
179,追試験,2022,地学基礎,common_retake/2022/earth_science_basics,https://common-test-share.vercel.app/exam/common_retake/2022/earth_science_basics,共通テスト 地学基礎 2022 追試験,15,要確認,,,,,,0,なし,0,なし,
180,追試験,2022,地理B,common_retake/2022/geography_b,https://common-test-share.vercel.app/exam/common_retake/2022/geography_b,共通テスト 地理B 2022 追試験,30,要確認,,,,,,0,なし,0,なし,
181,追試験,2022,日本史B,common_retake/2022/japanese_history_b,https://common-test-share.vercel.app/exam/common_retake/2022/japanese_history_b,共通テスト 日本史B 2022 追試験,32,要確認,,,,,,0,なし,0,なし,
182,追試験,2022,物理,common_retake/2022/physics,https://common-test-share.vercel.app/exam/common_retake/2022/physics,共通テスト 物理 2022 追試験,21,要確認,,,,,,0,なし,0,なし,
183,追試験,2022,物理基礎,common_retake/2022/physics_basics,https://common-test-share.vercel.app/exam/common_retake/2022/physics_basics,共通テスト 物理基礎 2022 追試験,18,要確認,,,,,,1,13・14（答:2・4 / 1点 / 入替パターン登録）,0,なし,
184,追試験,2022,倫理,common_retake/2022/ethics,https://common-test-share.vercel.app/exam/common_retake/2022/ethics,共通テスト 倫理 2022 追試験,33,要確認,,,,,,0,なし,0,なし,
185,追試験,2022,倫理、政治・経済,common_retake/2022/ethics_politics_economy,https://common-test-share.vercel.app/exam/common_retake/2022/ethics_politics_economy,共通テスト 倫理、政治・経済 2022 追試験,35,要確認,,,,,,0,なし,0,なし,
